;;;;
Förnamn och antal bärare för folkbokförda kvinnor 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
ABDIRISAQ;78;;;
ABDIRISHID;5;;;
ABDIRIZAAK;8;;;
ABDIRIZAAQ;2;;;
ABDIRIZACK;2;;;
ABDIRIZAK;143;;;
ABDIRIZAQ;13;;;
ABDIRKADIR;2;;;
ABDIRSAAK;2;;;
ABDIRSAAQ;3;;;
ABDIRSAQ;2;;;
ABDISABIR;3;;;
ABDISAID;2;;;
ABDISALAAM;13;;;
ABDISALAAN;18;;;
ABDISALAM;76;;;
ABDISALAN;53;;;
ABDISAMAD;31;;;
ABDISAMED;18;;;
ABDISATAAR;2;;;
ABDISATAR;3;;;
ABDISEMED;4;;;
ABDISH;2;;;
ABDISHAKOOR;2;;;
ABDISHAKOUR;8;;;
ABDISHAKUR;59;;;
ABDISHAKUUR;8;;;
ABDISHOKOR;3;;;
ABDISHUKRI;4;;;
ABDISSA;6;;;
ABDITAJIR;4;;;
ABDIWAHAB;57;;;
ABDIWAHID;17;;;
ABDIWAJID;2;;;
ABDIWAKIL;2;;;
ABDIWALI;75;;;
ABDIWELI;35;;;
ABDIWOLI;3;;;
ABDIYA;2;;;
ABDIYARE;11;;;
ABDIYO;8;;;
ABDL;4;;;
ABDLA;2;;;
ABDLAH;2;;;
ABDLKARIM;2;;;
ABDLMONEM;2;;;
ABDLWAHED;2;;;
ABDMARIAM;10;;;
ABDMARYAM;3;;;
ABDNUR;2;;;
ABDO;142;;;
ABDOL;3;;;
ABDOLKADER;2;;;
ABDOLKADIR;2;;;
ABDOLKARIM;2;;;
ABDOLKHADER;3;;;
ABDOLLAH;3;;;
ABDOLLKADIR;4;;;
ABDOLRAHMAN;3;;;
ABDOLWAHAB;2;;;
ABDOSH;5;;;
ABDOU;28;;;
ABDOUL;4;;;
ABDOULKADER;9;;;
ABDOULRAHEEM;2;;;
ABDOUN;3;;;
ABDOURAHMAN;10;;;
ABDOW;17;;;
ABDRABA;5;;;
ABDRABOO;4;;;
ABDRAHIM;2;;;
ABDRAHMAN;3;;;
ABDRBUH;3;;;
ABDRKADIR;2;;;
ABDSSAMAD;2;;;
ABDU;148;;;
ABDUAHAD;2;;;
ABDUALGADER;4;;;
ABDUALLAH;4;;;
ABDUALLAHI;2;;;
ABDUELAZEEM;3;;;
ABDUKAADIR;2;;;
ABDUKADER;8;;;
ABDUKADIR;40;;;
ABDUL;457;;;
ABDUL-AHAD;3;;;
ABDUL-AMIR;4;;;
ABDUL-AZIZ;4;;;
ABDUL-BASIT;2;;;
ABDUL-HAMID;5;;;
ABDUL-KAREM;2;;;
ABDUL-KARIM;7;;;
ABDUL-KHALEQ;2;;;
ABDUL-QADER;2;;;
ABDUL-RAHMAN;8;;;
ABDUL-RIDA;3;;;
ABDUL-SALAM;2;;;
ABDUL-SATTAR;3;;;
ABDULA;19;;;
ABDULAA;2;;;
ABDULAAH;3;;;
ABDULAAHI;52;;;
ABDULAAIMA;5;;;
ABDULAALI;7;;;
ABDULABBAS;16;;;
ABDULADHEEM;8;;;
ABDULADHEM;2;;;
ABDULADHIM;2;;;
ABDULAEVNA;2;;;
ABDULAH;17;;;
ABDULAHAD;85;;;
ABDULAHE;2;;;
ABDULAHED;2;;;
ABDULAHI;437;;;
ABDULAIH;2;;;
ABDULALEEM;2;;;
ABDULALIM;8;;;
ABDULAMEER;99;;;
ABDULAMER;3;;;
ABDULAMIR;48;;;
ABDULARAHMAN;2;;;
ABDULASIS;2;;;
ABDULASSIS;2;;;
ABDULATEEF;35;;;
ABDULATEF;2;;;
ABDULATIF;15;;;
ABDULAZEEZ;58;;;
ABDULAZEZ;4;;;
ABDULAZIIZ;4;;;
ABDULAZIZ;155;;;
ABDULBAKI;6;;;
ABDULBAQI;14;;;
ABDULBARI;11;;;
ABDULBASET;5;;;
ABDULBASIT;4;;;
ABDULE;25;;;
ABDULELAH;38;;;
ABDULEMIR;2;;;
ABDULETIF;2;;;
ABDULFADI;2;;;
ABDULFATAAH;2;;;
ABDULFATAH;27;;;
ABDULFATTAH;22;;;
ABDULFETAH;3;;;
ABDULGAADIR;3;;;
ABDULGADER;4;;;
ABDULGADIR;22;;;
ABDULGALIB;3;;;
ABDULGANI;5;;;
ABDULGHAFAR;2;;;
ABDULGHAFFAR;2;;;
ABDULGHAFOOR;6;;;
ABDULGHANI;29;;;
ABDULGHANY;2;;;
ABDULHADE;2;;;
ABDULHADI;60;;;
ABDULHADIR;2;;;
ABDULHAFEDH;10;;;
ABDULHAFIZ;4;;;
ABDULHAG;2;;;
ABDULHAI;3;;;
ABDULHAJ;2;;;
ABDULHAKEEM;10;;;
ABDULHAKIM;39;;;
ABDULHALEEM;8;;;
ABDULHALIM;7;;;
ABDULHAMED;5;;;
ABDULHAMEED;55;;;
ABDULHAMID;47;;;
ABDULHAMZA;4;;;
ABDULHASAN;45;;;
ABDULHASIB;2;;;
ABDULHASSAN;15;;;
ABDULHAY;3;;;
ABDULHUSEEN;2;;;
ABDULHUSEIN;6;;;
ABDULHUSSAIN;7;;;
ABDULHUSSEIN;128;;;
ABDULHUSSIEN;2;;;
ABDULHUSSIN;3;;;
ABDULILAH;5;;;
ABDULJABAR;23;;;
ABDULJABBAR;125;;;
ABDULJALEEL;23;;;
