;;;;
Förnamn och antal bärare för folkbokförda män 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
ABDELKADR;4;;;
ABDELKAFI;2;;;
ABDELKAMAL;2;;;
ABDELKAREEM;10;;;
ABDELKAREM;4;;;
ABDELKARIM;173;;;
ABDELKAWI;2;;;
ABDELKAWY;3;;;
ABDELKBIR;3;;;
ABDELKEBIR;6;;;
ABDELKERIM;18;;;
ABDELKHADER;3;;;
ABDELKHADIR;2;;;
ABDELKHALAK;3;;;
ABDELKHALEK;18;;;
ABDELKHALEQ;7;;;
ABDELKODDOUS;2;;;
ABDELKRIM;45;;;
ABDELL;2;;;
ABDELLA;126;;;
ABDELLAH;124;;;
ABDELLAHI;2;;;
ABDELLATEEF;2;;;
ABDELLATIF;111;;;
ABDELLAZIZ;11;;;
ABDELLEZIZ;3;;;
ABDELLIAH;3;;;
ABDELLJABAR;2;;;
ABDELMABOUD;2;;;
ABDELMADJID;6;;;
ABDELMAGED;4;;;
ABDELMAGEED;4;;;
ABDELMAGID;8;;;
ABDELMAHD;2;;;
ABDELMAHMOUD;2;;;
ABDELMAJED;9;;;
ABDELMAJID;50;;;
ABDELMAKSOUD;5;;;
ABDELMALAK;39;;;
ABDELMALEK;32;;;
ABDELMALIK;12;;;
ABDELMASIH;15;;;
ABDELMASSIH;17;;;
ABDELMAWGOUD;2;;;
ABDELMAWLA;2;;;
ABDELMEGID;2;;;
ABDELMEGUID;11;;;
ABDELMELEK;5;;;
ABDELMENAN;2;;;
ABDELMENEM;6;;;
ABDELMESIH;2;;;
ABDELMESSIH;4;;;
ABDELMJID;4;;;
ABDELMOATY;6;;;
ABDELMOEIN;2;;;
ABDELMOHAIMEN;2;;;
ABDELMOHSEN;8;;;
ABDELMOMEN;2;;;
ABDELMONAEM;3;;;
ABDELMONAIM;2;;;
ABDELMONAM;2;;;
ABDELMONEIM;12;;;
ABDELMONEM;28;;;
ABDELMONGY;3;;;
ABDELMONIM;4;;;
ABDELMOUMEN;3;;;
ABDELMOUNAIM;3;;;
ABDELMOUNIM;3;;;
ABDELMOUTALIB;2;;;
ABDELMUHDI;4;;;
ABDELMUHSEN;2;;;
ABDELMUNEM;5;;;
ABDELMUTALAB;3;;;
ABDELNABI;5;;;
ABDELNABY;11;;;
ABDELNASER;6;;;
ABDELNASSER;9;;;
ABDELNASSIR;4;;;
ABDELNOOR;3;;;
ABDELNOUR;11;;;
ABDELNUR;2;;;
ABDELOUAHAB;7;;;
ABDELOUAHEB;2;;;
ABDELOUAHED;11;;;
ABDELOUAHHAB;2;;;
ABDELOUAHID;9;;;
ABDELQADER;17;;;
ABDELRAHEEM;5;;;
ABDELRAHEM;3;;;
ABDELRAHIM;68;;;
ABDELRAHMAN;334;;;
ABDELRAHMEN;3;;;
ABDELRAMAN;2;;;
ABDELRAOF;3;;;
ABDELRAOUF;10;;;
ABDELRASHID;11;;;
ABDELRASSOUL;2;;;
ABDELRAWAF;3;;;
ABDELRAZAG;6;;;
ABDELRAZAK;12;;;
ABDELRAZAQ;4;;;
ABDELRAZEK;12;;;
ABDELRAZIG;3;;;
ABDELRAZIK;4;;;
ABDELRAZZAK;10;;;
ABDELRAZZAQ;5;;;
ABDELREHIM;7;;;
ABDELRESHID;4;;;
ABDELREZA;2;;;
ABDELREZAK;4;;;
ABDELRHANI;2;;;
ABDELRHMAN;4;;;
ABDELRIDA;2;;;
ABDELRUHMAN;2;;;
ABDELSABOUR;4;;;
ABDELSAHEB;5;;;
ABDELSALAM;77;;;
ABDELSALEM;2;;;
ABDELSAMAD;4;;;
ABDELSAMED;2;;;
ABDELSAMIE;6;;;
ABDELSATAR;13;;;
ABDELSATTAR;7;;;
ABDELSAYED;13;;;
ABDELSHAFY;2;;;
ABDELSHAHID;11;;;
ABDELTIF;3;;;
ABDELWADOD;2;;;
ABDELWADOUD;2;;;
ABDELWAHAB;72;;;
ABDELWAHAD;4;;;
ABDELWAHEB;2;;;
ABDELWAHED;17;;;
ABDELWAHHAB;2;;;
ABDELWAHID;3;;;
ABDELWAKIL;3;;;
ABDELWALY;4;;;
ABDELWANIS;2;;;
ABDELWASE;3;;;
ABDELWASIE;5;;;
ABDELWEHAB;5;;;
ABDELWHAB;6;;;
ABDELZAHER;3;;;
ABDELZAHIR;4;;;
ABDELZAHRA;2;;;
ABDENACER;2;;;
ABDENBI;5;;;
ABDENNABI;3;;;
ABDENNACER;2;;;
ABDENNACEUR;4;;;
ABDENNASER;2;;;
ABDENNOUR;10;;;
ABDENOR;2;;;
ABDENOUR;12;;;
ABDENUR;3;;;
ABDERABO;2;;;
ABDERAHIM;5;;;
ABDERAHMAN;15;;;
ABDERAHMANE;3;;;
ABDERAMAN;9;;;
ABDERAZAK;2;;;
ABDERHMAN;3;;;
ABDERRACHID;2;;;
ABDERRAHIM;79;;;
ABDERRAHMAN;52;;;
ABDERRAHMANE;55;;;
ABDERRAHMEN;5;;;
ABDERRAHMENE;3;;;
ABDERRAOUF;4;;;
ABDERRAZAK;32;;;
ABDERRAZEK;4;;;
ABDERRAZZAK;6;;;
ABDERREZAK;5;;;
ABDESALAM;6;;;
ABDESAMAD;2;;;
ABDESELAM;2;;;
ABDESHEKUR;2;;;
ABDESLAM;37;;;
ABDESLEM;2;;;
ABDESSADEK;5;;;
ABDESSALAM;6;;;
ABDESSALEM;9;;;
ABDESSAMAD;26;;;
ABDESSATAR;7;;;
ABDESSATTAR;3;;;
ABDESSELAM;8;;;
ABDESSELEM;3;;;
ABDESSLAM;9;;;
ABDESSLEM;5;;;
ABDI;3 760;;;
ABDI AZIZ;10;;;
ABDI FATAAH;2;;;
ABDI FATAH;5;;;
ABDI HAMID;3;;;
ABDI LATIF;2;;;
ABDI MALIK;4;;;
ABDI NAASIR;2;;;
ABDI NAJIIB;2;;;
ABDI NASIR;2;;;
ABDI QADIR;2;;;
ABDI QANI;3;;;
ABDI RAHMAN;11;;;
ABDI RASHID;4;;;
ABDI RIZAK;2;;;
ABDI SAMAD;2;;;
ABDI SHAKUR;3;;;
ABDI SHAKUUR;2;;;
ABDI-AZIZ;12;;;
ABDI-FATAH;6;;;
ABDI-HAFID;2;;;
ABDI-HAKIM;3;;;
ABDI-KAFI;3;;;
ABDI-KANI;2;;;
ABDI-KARIM;3;;;
ABDI-LATIF;2;;;
ABDI-MAHDI;4;;;
ABDI-MALIK;6;;;
ABDI-NASIR;6;;;
ABDI-NUR;4;;;
ABDI-QADIR;3;;;
ABDI-RAHIM;2;;;
ABDI-RAHMAN;4;;;
ABDI-RASHIED;2;;;
ABDI-SALAM;5;;;
ABDI-SALAN;2;;;
ABDI-SAMAD;2;;;
ABDI-SHUKUR;2;;;
ABDI-WAHAB;3;;;
ABDI-WELI;3;;;
ABDIADIIM;2;;;
ABDIALI;2;;;
ABDIAS;2;;;
ABDIASIIS;13;;;
ABDIASIS;122;;;
ABDIAZIIS;3;;;
ABDIAZIIZ;15;;;
ABDIAZIS;3;;;
ABDIAZIZ;449;;;
ABDIAZIZI;2;;;
ABDIAZZIZ;2;;;
ABDIBAASID;3;;;
ABDIBARI;3;;;
ABDIBASID;21;;;
ABDIBASIT;6;;;
ABDIBILE;5;;;
ABDIBILLE;2;;;
ABDICASIIS;3;;;
ABDICASIS;3;;;
ABDIDAHIR;14;;;
ABDIDEEQ;2;;;
ABDIDEK;2;;;
ABDIEL;6;;;
ABDIFADIL;4;;;
ABDIFATAAH;17;;;
ABDIFATAAX;2;;;
ABDIFATAH;685;;;
ABDIFATAX;2;;;
ABDIFATHA;12;;;
ABDIFATHAA;3;;;
ABDIFATTAH;10;;;
ABDIFETAAH;3;;;
ABDIFETAH;12;;;
ABDIFITAAH;7;;;
ABDIFITAH;91;;;
ABDIFITAX;3;;;
ABDIGABER;4;;;
ABDIGADAR;6;;;
ABDIGADIR;10;;;
ABDIGAFAAR;2;;;
ABDIGAFAR;6;;;
ABDIGAHNI;2;;;
ABDIGANI;68;;;
ABDIGHAFAR;2;;;
ABDIGHANI;4;;;
ABDIHAAFID;2;;;
ABDIHADI;6;;;
ABDIHAFID;71;;;
ABDIHAFIID;3;;;
ABDIHAFIT;2;;;
ABDIHAKEM;2;;;
ABDIHAKIIM;15;;;
ABDIHAKIIN;6;;;
ABDIHAKIM;219;;;
ABDIHAKIM SAID;2;;;
ABDIHAKIN;66;;;
ABDIHALIM;14;;;
