;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda kvinnor 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
AFFOUE;2;-;;
AFGHAN;4;-;;
AFGHANI;3;-;;
AFI;4;-;;
AFIA;32;26,8;;
AFIAA;2;-;;
AFIET;4;-;;
AFIFA;60;36;;
AFIFAH;2;-;;
AFIFE;7;-;;
AFIFEH;3;-;;
AFIFI;2;-;;
AFIFO;2;-;;
AFIJE;7;-;;
AFIJET;3;-;;
AFIN;2;-;;
AFINA;5;-;;
AFIYA;5;-;;
AFIZA;3;-;;
AFKAR;3;-;;
AFKERA;2;-;;
AFLIN;2;-;;
AFNAAN;31;9,8;;
AFNAN;191;15,5;;
AFNANE;2;-;;
AFOM;2;-;;
AFOMIA;13;31,8;;
AFOMIYA;3;-;;
AFOMYA;6;-;;
AFRA;35;30,9;;
AFRAA;51;35,7;;
AFRAAH;6;-;;
AFRAH;227;35,3;;
AFRAJ;2;-;;
AFRAMIA;2;-;;
AFRATA;4;-;;
AFRDITA;7;-;;
AFREEN;9;-;;
AFRICA;2;-;;
AFRIDA;3;-;;
AFRIKA;2;-;;
AFRIN;18;22;;
AFRINA;6;-;;
AFRODITA;28;39,5;;
AFRODITE;41;28;;
AFRODITI;36;38,5;;
AFROJA;4;-;;
AFRONA;2;-;;
AFROOZ;12;44,4;;
AFRORA;6;-;;
AFRORE;4;-;;
AFROUZ;12;50,6;;
AFROVITI;2;-;;
AFROZ;6;-;;
AFROZA;33;39,2;;
AFRUZ;2;-;;
AFRUZA;3;-;;
AFSA;6;-;;
AFSANA;51;29,8;;
AFSANAH;5;-;;
AFSANE;17;42,4;;
AFSANEH;205;50,4;;
AFSAR;22;66,9;;
AFSHAN;31;36,5;;
AFSHANA;4;-;;
AFSHEEN;13;20,5;;
AFSHID;2;-;;
AFSON;2;-;;
AFSOON;14;43,1;;
AFSOUN;2;-;;
AFSUN;3;-;;
AFTAB;10;50,2;;
AFTAW;4;-;;
AFTON;2;-;;
AFTONIA;6;-;;
AFTOUNIA;3;-;;
AFUA;3;-;;
AFYAN;2;-;;
AFZA;2;-;;
AFZAL;2;-;;
AGA;3;-;;
AGAPE;3;-;;
AGAPI;25;41,5;;
AGAR;3;-;;
